TickCount,AgentID,Layer,AgentType,X,Y,Alive,Age,Stage,Energy,Gravid,EggCount,LarvaCount,waterVolume,Resting,RestingDuration,TimeWithoutRest,Elevation,Buildings,Population,tp,t2m
100,018c57a4-a193-40f3-8b35-f26958dc1721,Mosquitoes,LivingAgent,41.871444,9.651595,1,586,ADULT,0.66,1,0,0,0,0,0,0,1189.0,5.0,78.88,0.0,22.13
100,bbf9da96-4212-4e34-87cb-dffe8494b8b6,Mosquitoes,LivingAgent,41.850022,9.668693,1,579,LARVA,0.629,0,0,0,0,0,0,0,1211.0,2.0,53.98,0.0,22.13
100,d46177ad-f47c-4a6a-a93e-f0c37572ea5c,Mosquitoes,LivingAgent,41.876105,9.643298,1,905,LARVA,0.654,0,0,0,0,0,0,0,1171.0,0.0,69.83,0.0,21.74
100,b4026835-d87c-448a-8e9f-60af50bd782c,Mosquitoes,LivingAgent,41.876645,9.640858,1,162,ADULT,0.529,0,0,0,0,0,0,0,1162.0,0.0,45.17,0.0,21.74
100,83bacc1f-1695-4542-8846-303ee74983e1,Mosquitoes,LivingAgent,41.883672,9.649944,1,1233,ADULT,0.388,0,0,0,0,1,2,0,1190.0,0.0,36.11,0.0,21.74
100,d23fbe91-ed27-421f-aa13-2968ce04604c,Mosquitoes,LivingAgent,41.848961,9.65177,1,38,PUPA,0.739,0,0,0,0,0,0,0,1184.0,1.0,71.41,0.0,22.13
100,a242fece-a5d5-4b75-b81a-0411c991d326,Mosquitoes,LivingAgent,41.876455,9.643453,1,278,PUPA,0.542,0,0,0,0,0,0,0,1169.0,0.0,63.78,0.0,21.74
100,ac8dee4e-9c2a-4730-8eb0-f49b8887897d,Mosquitoes,LivingAgent,41.84713,9.65298,1,1014,ADULT,0.67,0,0,0,0,0,0,0,1182.0,4.0,77.11,0.0,22.13
100,8ebaa057-42c7-46c0-9ed6-4d32f0c64697,Mosquitoes,LivingAgent,41.872263,9.641182,1,33,LARVA,0.725,0,0,0,0,0,0,0,1165.0,2.0,69.92,0.0,22.13
100,ea07716e-830b-4bac-adc8-b463af26e8d2,Mosquitoes,LivingAgent,41.838804,9.645985,1,119,ADULT,0.773,1,0,0,0,0,0,0,1170.0,3.0,83.91,0.0,22.13
